From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
7498;4447;river_large;7705;0;0;0;0;Malda ~ Kajangala
6112;6110;river_large;7879;0;0;0;0;Schelera ~ Ehkere
7367;7400;river_large;7706;0;0;0;0;Bhagdatpuram ~ Jayapura
7394;7397;river_large;7792;0;0;0;0;Fathabad ~ Jessore
3717;3787;river_large;7727;0;0;0;0;Novaesium ~ Tenctheria
7398;7327;river_large;7786;0;0;0;0;Kushtia ~ Karnasuvarna
6112;6117;river_large;7878;0;0;0;0;Schelera ~ Aggrat
3720;3787;river_large;7728;0;0;0;0;Bonna ~ Tenctheria
6115;6117;river_large;7878;0;0;0;0;Ahgranika ~ Aggrat
4462;7400;river_large;7707;0;0;0;0;Modgagiri ~ Jayapura
7327;7337;river_large;7786;0;0;0;0;Karnasuvarna ~ Aganagara
6115;6128;river_large;7877;0;0;0;0;Ahgranika ~ Zeh
7394;7358;river_large;7793;0;0;0;0;Fathabad ~ Khulna
6125;6128;river_large;7877;0;0;0;0;Machiekkyt ~ Zeh
7396;7358;river_large;7793;0;0;0;0;Bagerhat ~ Khulna
7337;7328;river_large;7786;0;0;0;0;Aganagara ~ Vardhamana
6117;6125;river_large;7877;0;0;0;0;Aggrat ~ Machiekkyt
6125;6130;river_large;7876;0;0;0;0;Machiekkyt ~ Vurd
4462;4463;river_large;7707;0;0;0;0;Modgagiri ~ Malini
3787;7738;river_large;7728;0;0;0;0;Tenctheria ~ Remagus
6131;6130;river_large;7876;0;0;0;0;Zhenna ~ Vurd
6131;6139;river_large;7876;0;0;0;0;Zhenna ~ Kyakkam
7337;7345;river_large;7787;0;0;0;0;Aganagara ~ Nabadwipa
7336;7345;river_large;7787;0;0;0;0;Selampoura ~ Nabadwipa
6139;6140;river_large;7875;0;0;0;0;Kyakkam ~ Tahent
4462;4440;river_large;7708;0;0;0;0;Modgagiri ~ Pataliputra
7738;3788;river_large;7729;0;0;0;0;Remagus ~ Lacobardia
4443;4440;river_large;7708;0;0;0;0;Nadikagama ~ Pataliputra
3788;3721;river_large;7729;0;0;0;0;Lacobardia ~ Confluentes
7336;7329;river_large;7789;0;0;0;0;Selampoura ~ Chandraketugarh
7358;7329;river_large;7789;0;0;0;0;Khulna ~ Chandraketugarh
6139;6143;river_large;7875;0;0;0;0;Kyakkam ~ Aghonor
3721;3699;river_large;7730;0;0;0;0;Confluentes ~ Aquae Mattiacorum
6143;6142;river_large;7875;0;0;0;0;Aghonor ~ Ghasett
3722;3699;river_large;7730;0;0;0;0;Vosolvia ~ Aquae Mattiacorum
3699;3723;river_large;7731;0;0;0;0;Aquae Mattiacorum ~ Bingium
3699;3701;river_large;7731;0;0;0;0;Aquae Mattiacorum ~ Mogontiacum
6143;6145;river_large;7874;0;0;0;0;Aghonor ~ Yottor
6145;6148;river_large;7874;0;0;0;0;Yottor ~ Nynt
2470;2467;river_large;7868;0;0;0;0;Galetia Vesperis ~ Pentale
2468;2467;river_large;7868;0;0;0;0;Caracotinum ~ Pentale
2468;2223;river_large;7868;0;0;0;0;Caracotinum ~ Esta
2467;2443;river_large;7869;0;0;0;0;Pentale ~ Rotomagus
6145;6144;river_large;7874;0;0;0;0;Yottor ~ Ish
6141;6144;river_large;7873;0;0;0;0;Enke ~ Ish
2466;2443;river_large;7869;0;0;0;0;Uggate ~ Rotomagus
6123;6144;river_large;7873;0;0;0;0;Shuchshek ~ Ish
6123;6124;river_large;7873;0;0;0;0;Shuchshek ~ Syti
6118;6124;river_large;7873;0;0;0;0;Kin ~ Syti
4915;7194;river_large;7883;0;0;0;0;Clepidava ~ Konae
7191;6124;river_large;7872;0;0;0;0;Uttar ~ Syti
4915;7189;river_large;7883;0;0;0;0;Clepidava ~ Rakan
7191;7190;river_large;7872;0;0;0;0;Uttar ~ Kanit
4916;7189;river_large;7883;0;0;0;0;Mirum ~ Rakan
7191;4530;river_large;7871;0;0;0;0;Uttar ~ Hippolaou
7188;7190;river_large;7871;0;0;0;0;Yendi ~ Kanit
7188;4530;river_large;7871;0;0;0;0;Yendi ~ Hippolaou
4529;4530;river_large;7871;0;0;0;0;Olbia ~ Hippolaou
7189;4917;river_large;7882;0;0;0;0;Rakan ~ Alitora
4917;7185;river_large;7882;0;0;0;0;Alitora ~ Atavria
4917;4526;river_large;7881;0;0;0;0;Alitora ~ Nikonion
4526;4525;river_large;7881;0;0;0;0;Nikonion ~ Tyras
2400;2398;river_large;7866;0;0;0;0;Robrica ~ Segora
2153;2210;river_large;7864;0;0;0;0;Grannona ~ Piktonion Akron
3308;2211;river_large;7865;0;0;0;0;Conbaristum ~ Ratiarum
2352;2211;river_large;7865;0;0;0;0;Andecavorum ~ Ratiarum
2352;2398;river_large;7866;0;0;0;0;Andecavorum ~ Segora
2212;2210;river_large;7864;0;0;0;0;Namnetum ~ Piktonion Akron
2212;2211;river_large;7865;0;0;0;0;Namnetum ~ Ratiarum
2400;2399;river_large;7867;0;0;0;0;Robrica ~ Toarcius
2394;2399;river_large;7867;0;0;0;0;Turonorum ~ Toarcius
4800;4520;river_large;7773;0;0;0;0;Dinogetia ~ Troesmis
4521;4520;river_large;7773;0;0;0;0;Nobiodounos ~ Troesmis
4802;4520;river_large;7773;0;0;0;0;Agarusia ~ Troesmis
4806;4520;river_large;7773;0;0;0;0;Cotesiana ~ Troesmis
4806;4518;river_large;7774;0;0;0;0;Cotesiana ~ Beroe Scythia
4808;4518;river_large;7774;0;0;0;0;Isteriana ~ Beroe Scythia
4808;4514;river_large;7774;0;0;0;0;Isteriana ~ Vicus Ramidava
2233;2229;river_large;7741;0;0;0;0;Noviomagus ~ Novioregum Santonum
2232;2233;river_large;7741;0;0;0;0;Tannum ~ Noviomagus
4514;4807;river_large;7775;0;0;0;0;Vicus Ramidava ~ Isteria
4807;4515;river_large;7775;0;0;0;0;Isteria ~ Ulmetensium
2233;2234;river_large;7742;0;0;0;0;Noviomagus ~ Burgus
4807;4512;river_large;7775;0;0;0;0;Isteria ~ Clementia
4807;4257;river_large;7776;0;0;0;0;Isteria ~ Sacidava
2236;2234;river_large;7742;0;0;0;0;Burdigala ~ Burgus
4811;4257;river_large;7776;0;0;0;0;Sornus ~ Sacidava
2236;2289;river_large;7742;0;0;0;0;Burdigala ~ Lucaniacum
4811;4252;river_large;7776;0;0;0;0;Sornus ~ Helis
4211;4209;river_large;7782;0;0;0;0;Drobeta ~ Egeta
4809;4246;river_large;7777;0;0;0;0;Piephigia ~ Durostorum
4811;4246;river_large;7777;0;0;0;0;Sornus ~ Durostorum
4209;4277;river_large;7782;0;0;0;0;Egeta ~ Salcia
4810;4246;river_large;7777;0;0;0;0;Piephigiana ~ Durostorum
4810;4242;river_large;7777;0;0;0;0;Piephigiana ~ Transmarisca
4810;4241;river_large;7778;0;0;0;0;Piephigiana ~ Appiara
4377;4373;river_large;7692;0;0;0;0;Bisambritai ~ Siberai
4277;4214;river_large;7782;0;0;0;0;Salcia ~ Clevora
4810;4240;river_large;7778;0;0;0;0;Piephigiana ~ Prista
4277;4215;river_large;7782;0;0;0;0;Salcia ~ Dortium
4277;4216;river_large;7782;0;0;0;0;Salcia ~ Bononia Moesia
4817;4240;river_large;7778;0;0;0;0;Tiasum ~ Prista
4216;4276;river_large;7781;0;0;0;0;Bononia Moesia ~ Castra Bistria
4817;4239;river_large;7778;0;0;0;0;Tiasum ~ Trimammium
4818;4231;river_large;7779;0;0;0;0;Pinion ~ Asamus
4818;4238;river_large;7779;0;0;0;0;Pinion ~ Novae
4266;4227;river_large;7779;0;0;0;0;Romula Saldensia ~ Oescus
4375;4373;river_large;7692;0;0;0;0;Mesai ~ Siberai
4375;4374;river_large;7692;0;0;0;0;Mesai ~ Mousikanoi
4817;4238;river_large;7779;0;0;0;0;Tiasum ~ Novae
4276;4224;river_large;7781;0;0;0;0;Castra Bistria ~ Cebrus
4276;4223;river_large;7781;0;0;0;0;Castra Bistria ~ Almus
4266;4231;river_large;7779;0;0;0;0;Romula Saldensia ~ Asamus
4276;4226;river_large;7780;0;0;0;0;Castra Bistria ~ Vicus Siamus
4267;4226;river_large;7780;0;0;0;0;Castris Novis ~ Vicus Siamus
4276;4217;river_large;7781;0;0;0;0;Castra Bistria ~ Ratiaria
4267;4227;river_large;7780;0;0;0;0;Castris Novis ~ Oescus
4224;4267;river_large;7780;0;0;0;0;Cebrus ~ Castris Novis
2317;2319;river_large;7846;0;0;0;0;Ucetia ~ Arelatis
2314;2319;river_large;7846;0;0;0;0;Nemausus ~ Arelatis
4375;4372;river_large;7700;0;0;0;0;Mesai ~ Vijnot
2318;2319;river_large;7846;0;0;0;0;Rhodanousia ~ Arelatis
2318;2323;river_large;7846;0;0;0;0;Rhodanousia ~ Pisavi
4376;4372;river_large;7700;0;0;0;0;Nerai ~ Vijnot
4376;4352;river_large;7699;0;0;0;0;Nerai ~ Roruka
4364;4352;river_large;7699;0;0;0;0;Oumbrai ~ Roruka
4364;4363;river_large;7698;0;0;0;0;Oumbrai ~ Sembrakenoi
4365;4363;river_large;7698;0;0;0;0;Nereai ~ Sembrakenoi
4362;4363;river_large;7698;0;0;0;0;Sambos ~ Sembrakenoi
4361;4363;river_large;7697;0;0;0;0;Megaroi ~ Sembrakenoi
4361;4353;river_large;7697;0;0;0;0;Megaroi ~ Brahmanaka
4354;4355;river_large;7697;0;0;0;0;Minnagara Sauvira ~ Sindhimana
4355;4353;river_large;7697;0;0;0;0;Sindhimana ~ Brahmanaka
379;385;river_large;7709;0;0;0;0;Pella ~ Tauriana
4354;7660;river_large;7696;0;0;0;0;Minnagara Sauvira ~ Abad Sauvira
379;373;river_large;7709;0;0;0;0;Pella ~ Thessalonike
428;373;river_large;7709;0;0;0;0;Aigeai ~ Thessalonike
4359;7660;river_large;7695;0;0;0;0;Samarabriai ~ Abad Sauvira
4359;6815;river_large;7695;0;0;0;0;Samarabriai ~ Patala
1312;1310;river_large;7770;0;0;0;0;Castra Cecilia ~ Ammaia
1308;1310;river_large;7770;0;0;0;0;Aritium ~ Ammaia
1312;1430;river_large;7770;0;0;0;0;Castra Cecilia ~ Ad Fines Iberia
6815;6822;river_large;7695;0;0;0;0;Patala ~ Barbarikon
1308;1309;river_large;7769;0;0;0;0;Aritium ~ Vicus Carnalocensis
1313;1315;river_large;7769;0;0;0;0;Tubucci ~ Aritium Praetorium
1308;1315;river_large;7769;0;0;0;0;Aritium ~ Aritium Praetorium
1314;1315;river_large;7769;0;0;0;0;Scallabis ~ Aritium Praetorium
1314;1320;river_large;7768;0;0;0;0;Scallabis ~ Malateca
1317;1320;river_large;7768;0;0;0;0;Arabriga ~ Malateca
1317;1315;river_large;7768;0;0;0;0;Arabriga ~ Aritium Praetorium
6821;6822;river_large;7694;0;0;0;0;Alexandrou Limen ~ Barbarikon
1319;1320;river_large;7767;0;0;0;0;Olisipo ~ Malateca
1319;1318;river_large;7767;0;0;0;0;Olisipo ~ Barbarion
6821;6848;river_large;7693;0;0;0;0;Alexandrou Limen ~ Sangama
1332;1416;river_large;7863;0;0;0;0;Myrtilis ~ Fons Siccum
1332;1415;river_large;7863;0;0;0;0;Myrtilis ~ Tharsis
1416;1338;river_large;7863;0;0;0;0;Fons Siccum ~ Tartessia
1338;1415;river_large;7863;0;0;0;0;Tartessia ~ Tharsis
1338;1339;river_large;7862;0;0;0;0;Tartessia ~ Praesidium
1335;1415;river_large;7862;0;0;0;0;Balsa ~ Tharsis
1335;1339;river_large;7862;0;0;0;0;Balsa ~ Praesidium
1373;1374;river_large;7772;0;0;0;0;Naeva ~ Carmo
1373;1355;river_large;7772;0;0;0;0;Naeva ~ Hispalis
1356;1355;river_large;7772;0;0;0;0;Italica ~ Hispalis
1356;1357;river_large;7771;0;0;0;0;Italica ~ Osset
974;973;river_large;7713;0;0;0;0;Kossaia ~ Bakusaya
1356;1353;river_large;7771;0;0;0;0;Italica ~ Urgia
1358;1357;river_large;7771;0;0;0;0;Olontigi ~ Osset
1358;1353;river_large;7771;0;0;0;0;Olontigi ~ Urgia
928;973;river_large;7713;0;0;0;0;Deru ~ Bakusaya
973;980;river_large;7712;0;0;0;0;Bakusaya ~ Dorista
912;913;river_large;7716;0;0;0;0;Ktesiphon ~ Vologesias
926;916;river_large;7715;0;0;0;0;Sumaka ~ Girumu
912;916;river_large;7716;0;0;0;0;Ktesiphon ~ Girumu
934;980;river_large;7712;0;0;0;0;Kashkar ~ Dorista
1341;1353;river_large;7665;0;0;0;0;Tartessos ~ Urgia
928;933;river_large;7714;0;0;0;0;Deru ~ Apameia Tigrei
916;976;river_large;7715;0;0;0;0;Girumu ~ Lawami
976;933;river_large;7714;0;0;0;0;Lawami ~ Apameia Tigrei
976;927;river_large;7715;0;0;0;0;Lawami ~ Skaphe
976;961;river_large;7714;0;0;0;0;Lawami ~ Tell Bismaya
1341;1342;river_large;7665;0;0;0;0;Tartessos ~ Menesthei Limin
970;934;river_large;7712;0;0;0;0;Abara ~ Kashkar
970;938;river_large;7711;0;0;0;0;Abara ~ Nina
922;919;river_large;7721;0;0;0;0;Aqola ~ Borsippa
938;940;river_large;7711;0;0;0;0;Nina ~ Alexandreia Sousiane
922;920;river_large;7721;0;0;0;0;Aqola ~ Dilbat
938;942;river_large;7722;0;0;0;0;Nina ~ Apologos
940;942;river_large;7722;0;0;0;0;Alexandreia Sousiane ~ Apologos
941;942;river_large;7722;0;0;0;0;Forat ~ Apologos
922;923;river_large;7720;0;0;0;0;Aqola ~ Qadissiyya
938;7723;river_large;7717;0;0;0;0;Nina ~ Durum
939;7723;river_large;7717;0;0;0;0;Larsa ~ Durum
971;942;river_large;7710;0;0;0;0;Ampe ~ Apologos
936;968;river_large;7719;0;0;0;0;Medain ~ Eridu
937;968;river_large;7718;0;0;0;0;Uruk ~ Eridu
937;7723;river_large;7718;0;0;0;0;Uruk ~ Durum
968;939;river_large;7718;0;0;0;0;Eridu ~ Larsa
522;7690;river_large;7679;0;0;0;0;Diospolis Kato ~ Tamiathis
7688;509;river_large;7673;0;0;0;0;Thenisos ~ Pilousion
7691;530;river_large;7683;0;0;0;0;Perseos Skope ~ Bolbitinon
522;7689;river_large;7678;0;0;0;0;Diospolis Kato ~ Hermou Polis
521;7689;river_large;7678;0;0;0;0;Sebennytos ~ Hermou Polis
7688;525;river_large;7673;0;0;0;0;Thenisos ~ Sile
510;509;river_large;7673;0;0;0;0;Daphnai ~ Pilousion
510;525;river_large;7673;0;0;0;0;Daphnai ~ Sile
510;511;river_large;7672;0;0;0;0;Daphnai ~ Phakoussai
7691;517;river_large;7682;0;0;0;0;Perseos Skope ~ Hermou Polis Mikra
508;511;river_large;7672;0;0;0;0;Tanis ~ Phakoussai
530;518;river_large;7682;0;0;0;0;Bolbitinon ~ Boutos
518;517;river_large;7682;0;0;0;0;Boutos ~ Hermou Polis Mikra
518;515;river_large;7682;0;0;0;0;Boutos ~ Naukratis
524;511;river_large;7671;0;0;0;0;Pharbaithos ~ Phakoussai
521;504;river_large;7677;0;0;0;0;Sebennytos ~ Leontopolis
528;7689;river_large;7677;0;0;0;0;Iseion ~ Hermou Polis
528;504;river_large;7677;0;0;0;0;Iseion ~ Leontopolis
517;519;river_large;7682;0;0;0;0;Hermou Polis Mikra ~ Sais
515;519;river_large;7681;0;0;0;0;Naukratis ~ Sais
519;527;river_large;7681;0;0;0;0;Sais ~ Momemphis
524;503;river_large;7671;0;0;0;0;Pharbaithos ~ Boubastos
655;502;river_large;7686;0;0;0;0;Serapieion ~ Heroopolis
511;7668;river_large;7686;0;0;0;0;Phakoussai ~ Bilbeis
511;502;river_large;7686;0;0;0;0;Phakoussai ~ Heroopolis
527;528;river_large;7681;0;0;0;0;Momemphis ~ Iseion
503;7668;river_large;7686;0;0;0;0;Boubastos ~ Bilbeis
7668;655;river_large;7686;0;0;0;0;Bilbeis ~ Serapieion
526;504;river_large;7676;0;0;0;0;Onouphis Ano ~ Leontopolis
504;503;river_large;7670;0;0;0;0;Leontopolis ~ Boubastos
526;513;river_large;7676;0;0;0;0;Onouphis Ano ~ Athribis
503;507;river_large;7667;0;0;0;0;Boubastos ~ Leonton Polis
655;505;river_large;6376;0;0;0;0;Serapieion ~ Klysma
513;503;river_large;7670;0;0;0;0;Athribis ~ Boubastos
527;526;river_large;7680;0;0;0;0;Momemphis ~ Onouphis Ano
505;506;river_large;6376;0;0;0;0;Klysma ~ Kleopatris
514;526;river_large;7680;0;0;0;0;Nikiou ~ Onouphis Ano
513;507;river_large;7670;0;0;0;0;Athribis ~ Leonton Polis
514;513;river_large;7674;0;0;0;0;Nikiou ~ Athribis
513;512;river_large;7674;0;0;0;0;Athribis ~ Letopolis
513;501;river_large;7669;0;0;0;0;Athribis ~ Helioupolis
505;1604;river_large;7684;0;0;0;0;Klysma ~ Phoinikon
-1;-1;;-1;-1;-1;-1;-1;
